case Id,activity,timestamp
60_0,Loan application received,63700189200
60_0,Check application form completeness,63700191940
60_0,Appraise property,63700192793
60_0,Check credit history,63700193472
60_0,Assess loan risk,63700195809
60_0,Verify repayment agreement,63700196342
60_0,Send acceptance pack,63700256322
60_0,Prepare acceptance pack,63700256609
60_0,Check if home insurance quote is requested,63700260707
60_0,Approve application,63700262049
60_0,Loan application approved,63700262049
61_1,Loan application received,63700263000
61_1,Check application form completeness,63700268584
61_1,Appraise property,63700268923
61_1,Check credit history,63700272423
61_1,Assess loan risk,63700273155
61_1,Reject application,63700275817
61_1,Loan application rejected,63700275817
62_2,Loan application received,63700279200
62_2,Check application form completeness,63700281868
62_2,Appraise property,63700341122
62_2,Check credit history,63700341814
62_2,Assess loan risk,63700348250
62_2,Verify repayment agreement,63700348490
62_2,Send home insurance quote,63700348816
62_2,Prepare acceptance pack,63700350524
62_2,Check if home insurance quote is requested,63700351259
62_2,Cancel application,63700352284
62_2,Loan application canceled,63700352284
140_3,Loan application received,63705632400
140_3,Check application form completeness,63705632963
140_3,Appraise property,63705635391
140_3,Check credit history,63705635808
140_3,Assess loan risk,63705636889
140_3,Verify repayment agreement,63705639037
140_3,Send home insurance quote,63705639190
140_3,Prepare acceptance pack,63705697555
140_3,Check if home insurance quote is requested,63705698429
140_3,Cancel application,63705700592
140_3,Loan application canceled,63705700592
69_4,Loan application received,63700795800
69_4,Check application form completeness,63700796621
69_4,Appraise property,63700796913
69_4,Check credit history,63700797551
69_4,Assess loan risk,63700798911
69_4,Verify repayment agreement,63700860402
69_4,Send acceptance pack,63700862094
69_4,Prepare acceptance pack,63700864760
69_4,Check if home insurance quote is requested,63700865515
69_4,Cancel application,63700866066
69_4,Loan application canceled,63700866066
141_5,Loan application received,63705706200
141_5,Check application form completeness,63705707738
141_5,Appraise property,63705708590
141_5,Check credit history,63705708779
141_5,Assess loan risk,63705709978
141_5,Verify repayment agreement,63705710765
141_5,Send acceptance pack,63705713934
141_5,Prepare acceptance pack,63705720096
141_5,Check if home insurance quote is requested,63705720298
141_5,Cancel application,63705722166
141_5,Loan application canceled,63705722166
50_6,Loan application received,63699566400
50_6,Check application form completeness,63699569951
50_6,Return application back to applicant,63699570495
50_6,Receive updated application,63699572702
50_6,Check application form completeness,63699572724
50_6,Appraise property,63699573398
50_6,Check credit history,63699579091
50_6,Assess loan risk,63699581144
50_6,Verify repayment agreement,63699582400
50_6,Send acceptance pack,63699583269
50_6,Prepare acceptance pack,63699587911
50_6,Check if home insurance quote is requested,63699588200
50_6,Cancel application,63699590304
50_6,Loan application canceled,63699590304
70_7,Loan application received,63700869600
70_7,Check application form completeness,63700871429
70_7,Return application back to applicant,63700873670
70_7,Receive updated application,63700874044
70_7,Check application form completeness,63700874258
70_7,Appraise property,63700878880
70_7,Check credit history,63700880923
70_7,Assess loan risk,63700882149
70_7,Verify repayment agreement,63700883706
70_7,Send acceptance pack,63700884715
70_7,Prepare acceptance pack,63700885851
70_7,Check if home insurance quote is requested,63700948437
70_7,Cancel application,63700949047
70_7,Loan application canceled,63700949047
72_8,Loan application received,63700959600
72_8,Check application form completeness,63700960454
72_8,Appraise property,63700962107
72_8,Check credit history,63700967718
72_8,Assess loan risk,63700968273
72_8,Verify repayment agreement,63700970412
72_8,Send home insurance quote,63700970883
72_8,Prepare acceptance pack,63701205848
72_8,Check if home insurance quote is requested,63701207844
72_8,Approve application,63701207973
72_8,Loan application approved,63701207973
51_9,Loan application received,63699582600
51_9,Check application form completeness,63699583356
51_9,Appraise property,63699583771
51_9,Check credit history,63699585131
